Rank,State,"Total Energy Consumed per Capita, million Btu",Note: Rankings are based on the full source data values.
1,AK,987
2,LA,925
3,ND,861
4,WY,853
5,WV,471
6,TX,459
7,IA,445
8,NE,430
9,SD,394
10,IN,383
11,OK,380
12,AL,375
13,MS,374
14,KY,371
15z,MT,352
16,AR,346
17,KS,341
18,NM,325
19,MN,308
20,SC,307
21,WI,300
22,TN,298
23,OH,298
24,IL,292
25,PA,288
26,MO,281
27,VA,280
28,MI,270
29,DE,270
30,ID,268
31,GA,260
32,UT,251
33,CO,251
34,ME,241
35,NC,240
36,NV,222
37,NJ,218
38,NH,213
39,DC,210
40,AZ,207
41,OR,202
42,WA,202
43,CT,196
44,MD,195
45,FL,194
46,VT,193
47,MA,188
48,HI,188
49,CA,176
50,NY,176
51,RI,171